buffer_size,original_size,compressed_size,compression_ratio,compression_time,decompression_time
64,10000000,19576129,0.511,18.72049800000059,2.663297500000226
128,10000000,19154804,0.522,18.53560319999997,2.7865606000004846
256,10000000,18826947,0.531,19.272065099999963,2.27039749999949
512,10000000,18354980,0.545,20.451658799999677,2.2896419999997306
1024,10000000,18013753,0.555,24.35499129999971,2.265285800000129
2048,10000000,17525895,0.571,28.293135799999618,2.0031787999996595
4096,10000000,16854070,0.593,36.58551349999925,1.8471285000005082
8192,10000000,16037508,0.624,51.389871200000016,1.6900766999997359
16384,10000000,15069980,0.664,82.56608940000024,1.7164768000002368
32768,10000000,14174248,0.706,133.6954472999996,1.4972883999998885
